model,device,num_gpus,batch,ctx,baseline,hbm_frac,simulated,ttft_p50,ttft_p99,tpot_p50,tpot_p99,throughput_tps,flash_stall_ms,note
microsoft/phi-2,a100,2,32,32768,NaiveSparse,0.4383,True,-10.014941450566031,-1.020060287274801,127.30829976455296,127.30829976455296,251.6103213327285,800.96,sim 4286s TP=2
microsoft/phi-2,a100,2,64,16384,Sparse,0.4383,True,-25.60936564091922,-1.020060287274801,43.27966644935152,47.416777580376014,1353.372550259711,0.0,sim 4303s TP=2
microsoft/phi-2,a100,4,128,16384,Dense,0.4462,True,-54.228452211937125,-1.04538912631754,122.45193003356724,130.32179715856722,969.7942490333429,616.27,sim 4421s TP=4
microsoft/phi-2,a100,4,4,524288,Sparse,0.4462,True,-1.04538912631754,-1.020060287274801,12.21224864723691,12.21224864723691,330.9959198257564,25.06,sim 561s TP=4
microsoft/phi-2,a100,2,2,524288,Dense,0.4383,True,-1.020060287274801,-1.020060287274801,124.69982216090936,124.69982216090936,16.054931675794894,918.04,sim 817s TP=2
microsoft/phi-2,a100,4,4,524288,Dense,0.4462,True,-1.04538912631754,-1.020060287274801,123.82494223057026,123.82494223057026,32.33696810183445,917.97,sim 755s TP=4
microsoft/phi-2,a100,4,16,131072,Sparse,0.4462,True,-6.400605561827242,-1.020060287274801,12.560040004524089,13.491469449184981,1197.2497455343503,0.0,sim 3046s TP=4
microsoft/phi-2,a100,4,16,131072,Dense,0.4462,True,-6.400605561827242,-1.020060287274801,120.34990023057026,123.84515685557025,129.32673784206244,882.83,sim 3281s TP=4
microsoft/phi-2,a100,4,16,131072,NaiveSparse,0.4462,True,-6.400605561827242,-1.020060287274801,120.34990023057026,123.84515685557025,129.32673784206244,882.83,sim 3166s TP=4
microsoft/phi-2,a100,4,32,65536,NaiveSparse,0.4462,True,-10.014941450566031,-1.020060287274801,119.1632899418978,125.28002881689781,255.6880170888017,844.56,sim 4582s TP=4
microsoft/phi-2,a100,4,128,16384,NaiveSparse,0.4462,True,-54.228452211937125,-1.04538912631754,122.45235203356725,130.32221915856726,969.7958900142268,616.16,sim 4601s TP=4
microsoft/phi-2,a100,4,32,65536,Dense,0.4462,True,-10.014941450566031,-1.020060287274801,119.1632899418978,125.28002881689781,255.6880170888017,844.56,sim 4630s TP=4
microsoft/phi-2,a100,4,4,524288,NaiveSparse,0.4462,True,-1.04538912631754,-1.020060287274801,123.82502223057027,123.82502223057027,32.33694718825785,917.94,sim 900s TP=4
microsoft/phi-2,a100,4,64,32768,NaiveSparse,0.4462,True,-25.60936564091922,-1.020060287274801,115.22737922941585,127.02595110441584,504.34030710116167,776.62,sim 4720s TP=4
microsoft/phi-2,a100,4,64,32768,Dense,0.4462,True,-25.60936564091922,-1.020060287274801,115.22737922941585,127.02595110441584,504.34030710116167,776.62,sim 4754s TP=4
microsoft/phi-2,a100,2,1,1048576,NaiveSparse,0.4383,True,-1.020060287274801,-1.020060287274801,124.69546691090935,124.69546691090935,8.02774650092481,930.85,sim 660s TP=2
microsoft/phi-2,a100,2,1,1048576,Sparse,0.4383,True,-1.020060287274801,-1.020060287274801,8.33875198381699,8.33875198381699,121.78421996130152,0.0,sim 672s TP=2
microsoft/phi-2,a100,2,1,1048576,Dense,0.4383,True,-1.020060287274801,-1.020060287274801,124.69546691090935,124.69546691090935,8.02774650092481,930.85,sim 864s TP=2
microsoft/phi-2,a100,4,2,1048576,Sparse,0.4462,True,-1.020060287274801,-1.020060287274801,12.212237980570244,12.212237980570244,165.49810599073905,30.18,sim 969s TP=4
microsoft/phi-2,a100,4,2,1048576,NaiveSparse,0.4462,True,-1.020060287274801,-1.020060287274801,122.92661616090933,122.92661616090933,16.286763172748564,915.9,sim 984s TP=4
microsoft/phi-2,a100,4,8,262144,Sparse,0.4462,True,-1.6195993760626193,-1.020060287274801,12.20884198057024,12.20884198057024,662.1785065751113,17.32,sim 1752s TP=4
microsoft/phi-2,a100,4,2,1048576,Dense,0.4462,True,-1.020060287274801,-1.020060287274801,122.92661616090933,122.92661616090933,16.286763172748564,915.89,sim 1161s TP=4
microsoft/phi-2,a100,4,8,262144,NaiveSparse,0.4462,True,-1.6195993760626193,-1.020060287274801,123.83135573057025,123.83135573057025,64.67058314476334,910.3,sim 2158s TP=4
microsoft/phi-2,a100,4,8,262144,Dense,0.4462,True,-1.6195993760626193,-1.020060287274801,123.83135573057025,123.83135573057025,64.67058314476334,910.3,sim 2270s TP=4
microsoft/phi-2,h100,8,128,32768,Sparse,0.4501,True,,,,,,,"FAILED: odels
    models[""all_reduce""] = self._train_model(
  File ""/home/adityaan/vidur/vidur/execution_time_predictor/sklearn_execution_time_predictor.py"", line 354, in _train_model
    raise Exception(f""Training data for model {model_name} is empty"")
Exception: Training data for model all_reduce is empty"
microsoft/phi-2,h100,8,64,65536,NaiveSparse,0.4501,True,,,,,,,"FAILED: odels
    models[""all_reduce""] = self._train_model(
  File ""/home/adityaan/vidur/vidur/execution_time_predictor/sklearn_execution_time_predictor.py"", line 354, in _train_model
    raise Exception(f""Training data for model {model_name} is empty"")
Exception: Training data for model all_reduce is empty"
microsoft/phi-2,h100,8,128,32768,NaiveSparse,0.4501,True,,,,,,,"FAILED: odels
    models[""all_reduce""] = self._train_model(
  File ""/home/adityaan/vidur/vidur/execution_time_predictor/sklearn_execution_time_predictor.py"", line 354, in _train_model
    raise Exception(f""Training data for model {model_name} is empty"")
Exception: Training data for model all_reduce is empty"
microsoft/phi-2,h100,8,64,65536,Dense,0.4501,True,,,,,,,"FAILED: odels
    models[""all_reduce""] = self._train_model(
  File ""/home/adityaan/vidur/vidur/execution_time_predictor/sklearn_execution_time_predictor.py"", line 354, in _train_model
    raise Exception(f""Training data for model {model_name} is empty"")
Exception: Training data for model all_reduce is empty"
microsoft/phi-2,h100,8,128,32768,Dense,0.4501,True,,,,,,,"FAILED: odels
    models[""all_reduce""] = self._train_model(
  File ""/home/adityaan/vidur/vidur/execution_time_predictor/sklearn_execution_time_predictor.py"", line 354, in _train_model
    raise Exception(f""Training data for model {model_name} is empty"")
Exception: Training data for model all_reduce is empty"
microsoft/phi-2,h100,8,64,65536,Sparse,0.4501,True,,,,,,,"FAILED: odels
    models[""all_reduce""] = self._train_model(
  File ""/home/adityaan/vidur/vidur/execution_time_predictor/sklearn_execution_time_predictor.py"", line 354, in _train_model
    raise Exception(f""Training data for model {model_name} is empty"")
Exception: Training data for model all_reduce is empty"
microsoft/phi-2,h100,2,128,8192,Dense,0.4383,True,-54.228452211937125,-1.04538912631754,122.02044168896498,131.651590063965,960.4317907891984,654.53,sim 3824s TP=2
microsoft/phi-2,h100,8,32,131072,Dense,0.4501,True,,,,,,,"FAILED: odels
    models[""all_reduce""] = self._train_model(
  File ""/home/adityaan/vidur/vidur/execution_time_predictor/sklearn_execution_time_predictor.py"", line 354, in _train_model
    raise Exception(f""Training data for model {model_name} is empty"")
Exception: Training data for model all_reduce is empty"
microsoft/phi-2,h100,8,32,131072,NaiveSparse,0.4501,True,,,,,,,"FAILED: odels
    models[""all_reduce""] = self._train_model(
  File ""/home/adityaan/vidur/vidur/execution_time_predictor/sklearn_execution_time_predictor.py"", line 354, in _train_model
    raise Exception(f""Training data for model {model_name} is empty"")
Exception: Training data for model all_reduce is empty"
microsoft/phi-2,h100,8,32,131072,Sparse,0.4501,True,,,,,,,"FAILED: odels
    models[""all_reduce""] = self._train_model(
  File ""/home/adityaan/vidur/vidur/execution_time_predictor/sklearn_execution_time_predictor.py"", line 354, in _train_model
    raise Exception(f""Training data for model {model_name} is empty"")
Exception: Training data for model all_reduce is empty"
microsoft/phi-2,h100,2,128,8192,NaiveSparse,0.4383,True,-54.228452211937125,-1.04538912631754,122.02051502229831,131.6516633972983,960.4314544869947,654.53,sim 3928s TP=2
microsoft/phi-2,h100,2,8,131072,Dense,0.4383,True,-1.6195993760626193,-1.020060287274801,125.592178894466,125.592178894466,63.76296939508464,922.27,sim 2127s TP=2
microsoft/phi-2,h100,2,64,16384,NaiveSparse,0.4383,True,-25.60936564091922,-1.020060287274801,116.44420780249088,128.68971417749086,497.8134840079834,809.95,sim 4168s TP=2
microsoft/phi-2,h100,4,16,131072,Sparse,0.4462,True,-6.400605561827242,-1.020060287274801,11.59333451990983,12.486685225925221,1294.5845104990522,20.71,sim 1936s TP=4
microsoft/phi-2,h100,2,16,65536,Sparse,0.4383,True,-6.400605561827242,-1.020060287274801,12.261482313628711,13.198453797185362,1224.0888823329956,4.25,sim 3651s TP=2
microsoft/phi-2,h100,2,128,8192,Sparse,0.4383,True,-54.228452211937125,-1.04538912631754,47.20930908470952,50.722023778161166,2486.9393462636826,0.0,sim 4251s TP=2
microsoft/phi-2,h100,8,16,262144,Dense,0.4501,True,,,,,,,"FAILED: odels
    models[""all_reduce""] = self._train_model(
  File ""/home/adityaan/vidur/vidur/execution_time_predictor/sklearn_execution_time_predictor.py"", line 354, in _train_model
    raise Exception(f""Training data for model {model_name} is empty"")
Exception: Training data for model all_reduce is empty"
microsoft/phi-2,h100,8,16,262144,NaiveSparse,0.4501,True,,,,,,,"FAILED: odels
    models[""all_reduce""] = self._train_model(
  File ""/home/adityaan/vidur/vidur/execution_time_predictor/sklearn_execution_time_predictor.py"", line 354, in _train_model
    raise Exception(f""Training data for model {model_name} is empty"")
Exception: Training data for model all_reduce is empty"
microsoft/phi-2,h100,8,16,262144,Sparse,0.4501,True,,,,,,,"FAILED: odels
    models[""all_reduce""] = self._train_model(
  File ""/home/adityaan/vidur/vidur/execution_time_predictor/sklearn_execution_time_predictor.py"", line 354, in _train_model
    raise Exception(f""Training data for model {model_name} is empty"")
Exception: Training data for model all_reduce is empty"
microsoft/phi-2,h100,2,16,65536,NaiveSparse,0.4383,True,-6.400605561827242,-1.020060287274801,120.37518051946601,125.62019726946602,127.49746645777414,903.63,sim 3731s TP=2
microsoft/phi-2,h100,4,128,16384,Sparse,0.4462,True,-54.228452211937125,-1.04538912631754,31.326930895134456,35.48994687958481,3619.6597965432125,0.0,sim 4139s TP=4
microsoft/phi-2,h100,2,64,16384,Sparse,0.4383,True,-25.60936564091922,-1.020060287274801,25.7402424334825,28.479341626407578,2257.349552614969,0.0,sim 4193s TP=2
microsoft/phi-2,h100,4,16,131072,Dense,0.4462,True,-6.400605561827242,-1.020060287274801,115.02282974192475,123.75955811692475,129.4162793936293,911.07,sim 2159s TP=4
microsoft/phi-2,h100,2,8,131072,Sparse,0.4383,True,-1.6195993760626193,-1.020060287274801,12.195008686132663,12.195008686132663,662.937579239589,15.02,sim 2217s TP=2
microsoft/phi-2,h100,2,16,65536,Dense,0.4383,True,-6.400605561827242,-1.020060287274801,120.37514451946602,125.62016126946601,127.49750303289353,903.64,sim 3876s TP=2
