model,device,batch,ctx,baseline,hbm_frac,simulated,ttft_p50,ttft_p99,tpot_p50,tpot_p99,throughput_tps,flash_stall_ms,note
microsoft/phi-2,a100,4,65536,Dense,0.8452,True,-1.6195993760626193,-1.020060287274801,30.95553493474293,32.960334809742925,243.65857783973644,100.73,sim 38s
microsoft/phi-2,a100,4,65536,NaiveSparse,0.8452,True,-1.6195993760626193,-1.020060287274801,30.95553493474293,32.960334809742925,243.65857783973644,100.73,sim 49s
microsoft/phi-2,a100,1,131072,Dense,1.0,True,-1.6195993760626193,-1.020060287274801,30.436938489252288,48.622597061258105,164.96515581888633,0.0,sim 47s
microsoft/phi-2,a100,1,131072,NaiveSparse,1.0,True,-1.6195993760626193,-1.020060287274801,30.436938489252288,48.622597061258105,164.96515581888633,0.0,copy-from-Dense (hbm_frac=1.0)
microsoft/phi-2,a100,8,65536,NaiveSparse,0.4226,True,-1.6195993760626193,-1.020060287274801,128.9681660597429,128.9681660597429,62.09220048747362,911.31,sim 74s
microsoft/phi-2,a100,8,65536,Dense,0.4226,True,-1.6195993760626193,-1.020060287274801,128.9681660597429,128.9681660597429,62.09220048747362,911.31,sim 78s
microsoft/phi-2,a100,2,131072,Dense,0.8452,True,-1.6195993760626193,-1.020060287274801,46.95383118474293,64.98081830974293,123.35530606754722,292.03,sim 61s
microsoft/phi-2,a100,2,131072,NaiveSparse,0.8452,True,-1.6195993760626193,-1.020060287274801,46.95383118474293,64.98081830974293,123.35530606754722,292.03,sim 65s
microsoft/phi-2,a100,4,131072,NaiveSparse,0.4226,True,-1.6195993760626193,-1.020060287274801,240.992408184743,256.99989380974296,31.14386920309823,1893.04,sim 167s
microsoft/phi-2,a100,4,131072,Dense,0.4226,True,-1.6195993760626193,-1.020060287274801,240.992408184743,256.99989380974296,31.14386920309823,1893.04,sim 186s
microsoft/phi-2,a100,1,262144,Dense,0.8452,True,-1.6195993760626193,-1.020060287274801,80.21284628590931,128.2640495359093,62.433400145916266,637.13,sim 189s
microsoft/phi-2,a100,1,262144,NaiveSparse,0.8452,True,-1.6195993760626193,-1.020060287274801,80.21284628590931,128.2640495359093,62.433400145916266,637.13,sim 189s
microsoft/phi-2,h100,8,4096,Dense,1.0,True,-1.6195993760626193,-1.020060287274801,7.494080743533304,8.041387099935966,1010.8822019941842,0.0,sim 4s
microsoft/phi-2,h100,8,4096,NaiveSparse,1.0,True,-1.6195993760626193,-1.020060287274801,7.494080743533304,8.041387099935966,1010.8822019941842,0.0,copy-from-Dense (hbm_frac=1.0)
microsoft/phi-2,h100,1,4096,Dense,1.0,True,-1.6195993760626193,-1.020060287274801,18.40934158789697,29.378442019089533,273.49553582980894,0.0,sim 283s
microsoft/phi-2,h100,1,4096,NaiveSparse,1.0,True,-1.6195993760626193,-1.020060287274801,18.40934158789697,29.378442019089533,273.49553582980894,0.0,copy-from-Dense (hbm_frac=1.0)
microsoft/phi-2,h100,2,4096,Dense,1.0,True,-1.6195993760626193,-1.020060287274801,13.175916089573223,18.015209297197174,447.23464795871246,0.0,sim 247s
microsoft/phi-2,h100,2,4096,NaiveSparse,1.0,True,-1.6195993760626193,-1.020060287274801,13.175916089573223,18.015209297197174,447.23464795871246,0.0,copy-from-Dense (hbm_frac=1.0)
microsoft/phi-2,h100,4,4096,Dense,1.0,True,-1.6195993760626193,-1.020060287274801,11.1982624900378,11.819639008004158,684.2208385266034,0.0,sim 248s
microsoft/phi-2,h100,4,4096,NaiveSparse,1.0,True,-1.6195993760626193,-1.020060287274801,11.1982624900378,11.819639008004158,684.2208385266034,0.0,copy-from-Dense (hbm_frac=1.0)
microsoft/phi-2,h100,1,8192,Dense,1.0,True,-1.6195993760626193,-1.020060287274801,18.57917512534913,29.650175679012964,270.97821786371196,0.0,sim 8s
microsoft/phi-2,h100,1,8192,NaiveSparse,1.0,True,-1.6195993760626193,-1.020060287274801,18.57917512534913,29.650175679012964,270.97821786371196,0.0,copy-from-Dense (hbm_frac=1.0)
microsoft/phi-2,h100,2,8192,Dense,1.0,True,-1.6195993760626193,-1.020060287274801,13.177489422906516,18.01745596386379,447.17848305808286,0.0,sim 7s
microsoft/phi-2,h100,2,8192,NaiveSparse,1.0,True,-1.6195993760626193,-1.020060287274801,13.177489422906516,18.01745596386379,447.17848305808286,0.0,copy-from-Dense (hbm_frac=1.0)
microsoft/phi-2,h100,4,8192,Dense,1.0,True,-1.6195993760626193,-1.020060287274801,11.26329457168533,11.888735594754658,680.2010776403074,0.0,sim 7s
microsoft/phi-2,h100,4,8192,NaiveSparse,1.0,True,-1.6195993760626193,-1.020060287274801,11.26329457168533,11.888735594754658,680.2010776403074,0.0,copy-from-Dense (hbm_frac=1.0)
microsoft/phi-2,h100,8,8192,Dense,1.0,True,-1.6195993760626193,-1.020060287274801,7.494224743533303,8.041559099935963,1010.8602319909144,0.0,sim 7s
microsoft/phi-2,h100,8,8192,NaiveSparse,1.0,True,-1.6195993760626193,-1.020060287274801,7.494224743533303,8.041559099935963,1010.8602319909144,0.0,copy-from-Dense (hbm_frac=1.0)
microsoft/phi-2,h100,2,16384,Dense,1.0,True,-1.6195993760626193,-1.020060287274801,13.177489422906516,18.01745596386379,447.17848305808286,0.0,sim 10s
microsoft/phi-2,h100,2,16384,NaiveSparse,1.0,True,-1.6195993760626193,-1.020060287274801,13.177489422906516,18.01745596386379,447.17848305808286,0.0,copy-from-Dense (hbm_frac=1.0)
microsoft/phi-2,h100,1,16384,Dense,1.0,True,-1.6195993760626193,-1.020060287274801,18.57917512534913,29.650175679012964,270.97821786371196,0.0,sim 12s
microsoft/phi-2,h100,1,16384,NaiveSparse,1.0,True,-1.6195993760626193,-1.020060287274801,18.57917512534913,29.650175679012964,270.97821786371196,0.0,copy-from-Dense (hbm_frac=1.0)
microsoft/phi-2,h100,8,16384,Dense,1.0,True,-1.6195993760626193,-1.020060287274801,7.494224743533303,8.041559099935963,1010.8602319909144,0.0,sim 9s
microsoft/phi-2,h100,8,16384,NaiveSparse,1.0,True,-1.6195993760626193,-1.020060287274801,7.494224743533303,8.041559099935963,1010.8602319909144,0.0,copy-from-Dense (hbm_frac=1.0)
microsoft/phi-2,h100,4,16384,Dense,1.0,True,-1.6195993760626193,-1.020060287274801,11.26329457168533,11.888735594754658,680.2010776403074,0.0,sim 12s
microsoft/phi-2,h100,4,16384,NaiveSparse,1.0,True,-1.6195993760626193,-1.020060287274801,11.26329457168533,11.888735594754658,680.2010776403074,0.0,copy-from-Dense (hbm_frac=1.0)
microsoft/phi-2,h100,1,32768,Dense,1.0,True,-1.6195993760626193,-1.020060287274801,18.57917512534913,29.650175679012964,270.97821786371196,0.0,sim 17s
microsoft/phi-2,h100,1,32768,NaiveSparse,1.0,True,-1.6195993760626193,-1.020060287274801,18.57917512534913,29.650175679012964,270.97821786371196,0.0,copy-from-Dense (hbm_frac=1.0)
microsoft/phi-2,h100,2,32768,Dense,1.0,True,-1.6195993760626193,-1.020060287274801,13.177489422906516,18.01745596386379,447.17848305808286,0.0,sim 18s
microsoft/phi-2,h100,2,32768,NaiveSparse,1.0,True,-1.6195993760626193,-1.020060287274801,13.177489422906516,18.01745596386379,447.17848305808286,0.0,copy-from-Dense (hbm_frac=1.0)
microsoft/phi-2,h100,4,32768,Dense,1.0,True,-1.6195993760626193,-1.020060287274801,11.26329457168533,11.888735594754658,680.2010776403074,0.0,sim 19s
