model,device,batch,context_length,baseline,tp,footprint_gb,sparsity_fraction,tpot_p50_ms,tpot_p99_ms,status,wall_s
meta-llama/Meta-Llama-3-8B,blackwell,32,65536,Sparse,1,290.9,0.1,49.488730153155316,55.85067540659806,OK,98.0
meta-llama/Meta-Llama-3-8B,blackwell,32,65536,Dense,1,290.9,1.0,371.9161970388135,377.9930404360943,OK,100.5
meta-llama/Meta-Llama-3-8B,blackwell,16,1048576,Sparse,8,2215.1,0.1,48.82320769976361,48.82320769976361,OK,169.3
meta-llama/Meta-Llama-3-8B,blackwell,16,1048576,Dense,8,2215.1,1.0,370.9449356997636,370.9449356997636,OK,171.3
meta-llama/Meta-Llama-3-8B,blackwell,64,4096,Dense,1,50.4,1.0,63.07531509562774,68.29038034907047,OK,35.5
meta-llama/Meta-Llama-3-8B,blackwell,32,131072,Dense,2,565.8,1.0,367.1096823782001,375.5814297431401,OK,104.2
meta-llama/Meta-Llama-3-8B,blackwell,32,131072,Sparse,2,565.8,0.1,47.22815045461495,53.47190627362137,OK,102.8
meta-llama/Meta-Llama-3-8B,blackwell,64,4096,Sparse,1,50.4,0.1,23.92943002954612,31.24343192541734,OK,40.6
meta-llama/Meta-Llama-3-8B,blackwell,64,8192,Dense,1,84.8,1.0,109.76054086225662,109.76054086225662,OK,51.3
meta-llama/Meta-Llama-3-8B,blackwell,64,8192,Sparse,1,84.8,0.1,28.03213579617501,35.78226783588431,OK,56.1
meta-llama/Meta-Llama-3-8B,blackwell,32,262144,Sparse,4,1115.6,0.1,46.392241096190986,52.47960773157941,OK,119.2
meta-llama/Meta-Llama-3-8B,blackwell,32,262144,Dense,4,1115.6,1.0,366.283211337019,374.6014205487393,OK,123.8
meta-llama/Meta-Llama-3-8B,blackwell,32,524288,Sparse,8,2215.1,0.1,44.94827366666568,51.418647806974214,OK,130.5
meta-llama/Meta-Llama-3-8B,blackwell,32,524288,Dense,8,2215.1,1.0,362.608060401185,373.5465884678958,OK,131.5
meta-llama/Meta-Llama-3-8B,blackwell,64,16384,Dense,1,153.5,1.0,199.22835800644285,199.22835800644285,OK,76.8
meta-llama/Meta-Llama-3-8B,blackwell,64,16384,Sparse,1,153.5,0.1,36.20875979617501,41.40376843860349,OK,74.9
meta-llama/Meta-Llama-3-8B,blackwell,128,4096,Sparse,1,84.8,0.1,33.902396198482975,45.81090631249899,OK,32.0
meta-llama/Meta-Llama-3-8B,blackwell,128,4096,Dense,1,84.8,1.0,108.8100354014587,116.6754680438872,OK,33.6
meta-llama/Meta-Llama-3-8B,blackwell,128,8192,Sparse,1,153.5,0.1,42.5553342866286,51.64260454479478,OK,37.5
