model,device,ctx_K,batch,dense_tpot_p50_ms,dense_tpot_p99_ms,sparse_tpot_p50_ms,sparse_tpot_p99_ms,speedup_dense_over_sparse,dense_hbf_stall_ms,sparse_hbf_stall_ms,dense_throughput_tok_s,sparse_throughput_tok_s
CodeLlama-34b-Instruct-hf,h100,32,16,71.56,71.56,33.71,33.71,2.123,151.41,0.0,112.19,239.15
CodeLlama-34b-Instruct-hf,h100,32,32,71.56,71.56,33.71,33.71,2.123,151.41,0.0,112.19,239.15
CodeLlama-34b-Instruct-hf,h100,32,64,71.56,71.56,33.71,33.71,2.123,151.41,0.0,112.19,239.15
CodeLlama-34b-Instruct-hf,h100,64,4,123.99,136.58,52.1,58.54,2.38,312.17,0.0,58.68,137.26
CodeLlama-34b-Instruct-hf,h100,64,8,136.57,136.57,33.71,33.71,4.051,411.46,0.0,58.69,239.15
CodeLlama-34b-Instruct-hf,h100,64,16,136.57,136.57,33.71,33.71,4.051,411.46,0.0,58.69,239.15
CodeLlama-34b-Instruct-hf,h100,64,32,136.57,136.57,33.71,33.71,4.051,411.46,0.0,58.69,239.15
CodeLlama-34b-Instruct-hf,h100,128,4,243.57,268.74,52.1,58.54,4.675,840.81,0.0,29.8,137.26
CodeLlama-34b-Instruct-hf,h100,128,8,268.73,268.73,33.71,33.71,7.972,940.09,0.0,29.8,239.15
CodeLlama-34b-Instruct-hf,h100,128,16,268.73,268.73,33.71,33.71,7.972,940.09,0.0,29.8,239.15
CodeLlama-34b-Instruct-hf,h100,256,4,486.84,537.18,53.5,59.94,9.1,1914.55,5.59,14.9,134.04
CodeLlama-34b-Instruct-hf,h100,256,8,537.17,537.17,58.52,58.52,9.179,2013.84,99.25,14.9,137.3
CodeLlama-34b-Instruct-hf,h100,512,4,973.38,1074.05,100.49,110.56,9.686,4062.03,208.08,7.45,72.53
Llama-2-70b-hf,a100,4,4,191.13,214.87,191.08,214.82,1.0,0.0,0.0,37.28,37.29
Llama-2-70b-hf,a100,4,8,122.73,122.73,122.81,122.81,0.999,0.0,0.0,65.32,65.27
Llama-2-70b-hf,a100,4,16,122.81,122.81,122.81,122.81,1.0,0.0,0.0,65.28,65.28
Llama-2-70b-hf,a100,4,32,122.81,122.81,122.82,122.82,1.0,0.0,0.0,65.28,65.27
Llama-2-70b-hf,a100,4,64,122.81,122.81,122.82,122.82,1.0,0.0,0.0,65.27,65.27
Llama-2-70b-hf,a100,4,128,122.81,122.81,122.82,122.82,1.0,0.0,0.0,65.28,65.27
Llama-2-70b-hf,a100,8,4,191.13,214.88,191.13,214.88,1.0,0.0,0.0,37.27,37.27
Llama-2-70b-hf,a100,8,8,122.81,122.81,122.81,122.81,1.0,0.0,0.0,65.28,65.28
Llama-2-70b-hf,a100,8,16,122.81,122.81,122.81,122.81,1.0,0.0,0.0,65.28,65.28
Llama-2-70b-hf,a100,8,32,122.81,122.81,122.81,122.81,1.0,0.0,0.0,65.28,65.28
Llama-2-70b-hf,a100,8,64,122.81,122.81,122.81,122.81,1.0,0.0,0.0,65.28,65.28
Llama-2-70b-hf,a100,8,128,122.81,122.81,122.81,122.81,1.0,0.0,0.0,65.28,65.28
