model,device,baseline,context_length,batch_size,kv_read_fraction,ttft_p50_ms,ttft_p99_ms,tpot_p50_ms,tpot_p99_ms,throughput_tok_s,hbf_stall_ms,status,wall_s
Qwen/Qwen-72B,h100,Dense,8192,16,1.0,-1.62,-1.02,231.24,231.24,34.63,564.27,OK,13.5
Qwen/Qwen-72B,h100,NaiveSparse,8192,16,1.0,-1.62,-1.02,231.24,231.24,34.63,564.27,OK,13.5
Qwen/Qwen-72B,h100,Dense,16384,4,1.0,-1.62,-1.02,406.22,448.23,17.86,1224.24,OK,34.6
Qwen/Qwen-72B,h100,NaiveSparse,16384,4,1.0,-1.62,-1.02,406.22,448.23,17.86,1224.24,OK,34.6
Qwen/Qwen-72B,h100,Dense,16384,8,1.0,-1.62,-1.02,448.11,448.11,17.86,1431.77,OK,37.8
Qwen/Qwen-72B,h100,NaiveSparse,16384,8,1.0,-1.62,-1.02,448.11,448.11,17.86,1431.77,OK,37.8
Qwen/Qwen-72B,h100,Sparse,32768,4,0.1,-1.62,-1.02,126.75,142.17,56.37,0.00,OK,88.7
Qwen/Qwen-72B,h100,Dense,32768,4,1.0,-1.62,-1.02,811.66,895.62,8.93,3013.80,OK,257.3
Qwen/Qwen-72B,h100,NaiveSparse,32768,4,1.0,-1.62,-1.02,811.66,895.62,8.93,3013.80,OK,257.3
Qwen/Qwen2-72B,a100,Sparse,4096,32,0.1,-1.62,-1.02,122.83,122.83,65.27,0.00,OK,611.0
Qwen/Qwen2-72B,a100,Sparse,4096,16,0.1,-1.62,-1.02,122.82,122.82,65.27,0.00,OK,670.0
Qwen/Qwen2-72B,a100,Sparse,4096,64,0.1,-1.62,-1.02,122.82,122.82,65.27,0.00,OK,4.5
Qwen/Qwen2-72B,a100,Sparse,4096,4,0.1,-1.62,-1.02,191.15,214.90,37.27,0.00,OK,700.1
Qwen/Qwen2-72B,a100,Sparse,4096,8,0.1,-1.62,-1.02,122.82,122.82,65.27,0.00,OK,700.6
Qwen/Qwen2-72B,a100,Dense,4096,64,1.0,-1.62,-1.02,122.82,122.82,65.27,0.00,OK,9.7
Qwen/Qwen2-72B,a100,NaiveSparse,4096,64,1.0,-1.62,-1.02,122.82,122.82,65.27,0.00,OK,9.7
Qwen/Qwen2-72B,a100,Dense,4096,32,1.0,-1.62,-1.02,122.82,122.82,65.27,0.00,OK,449.1
Qwen/Qwen2-72B,a100,NaiveSparse,4096,32,1.0,-1.62,-1.02,122.82,122.82,65.27,0.00,OK,449.1
Qwen/Qwen2-72B,a100,Dense,4096,4,1.0,-1.62,-1.02,191.15,214.89,37.27,0.00,OK,704.5
Qwen/Qwen2-72B,a100,NaiveSparse,4096,4,1.0,-1.62,-1.02,191.15,214.89,37.27,0.00,OK,704.5
Qwen/Qwen2-72B,a100,Dense,4096,8,1.0,-1.62,-1.02,122.79,122.79,65.29,0.00,OK,705.8
Qwen/Qwen2-72B,a100,NaiveSparse,4096,8,1.0,-1.62,-1.02,122.79,122.79,65.29,0.00,OK,705.8
Qwen/Qwen2-72B,a100,Sparse,4096,128,0.1,-1.62,-1.02,122.82,122.82,65.27,0.00,OK,7.1
Qwen/Qwen2-72B,a100,Dense,4096,16,1.0,-1.62,-1.02,122.78,122.78,65.29,0.00,OK,674.1
Qwen/Qwen2-72B,a100,NaiveSparse,4096,16,1.0,-1.62,-1.02,122.78,122.78,65.29,0.00,OK,674.1
Qwen/Qwen2-72B,a100,Dense,4096,128,1.0,-1.62,-1.02,122.82,122.82,65.27,0.00,OK,9.4
Qwen/Qwen2-72B,a100,NaiveSparse,4096,128,1.0,-1.62,-1.02,122.82,122.82,65.27,0.00,OK,9.4
Qwen/Qwen2-72B,a100,Sparse,8192,4,0.1,-1.62,-1.02,191.15,214.90,37.27,0.00,OK,10.6
Qwen/Qwen2-72B,a100,Sparse,8192,32,0.1,-1.62,-1.02,122.83,122.83,65.27,0.00,OK,6.2
Qwen/Qwen2-72B,a100,Sparse,8192,8,0.1,-1.62,-1.02,122.83,122.83,65.27,0.00,OK,8.3
Qwen/Qwen2-72B,a100,Sparse,8192,16,0.1,-1.62,-1.02,122.83,122.83,65.27,0.00,OK,7.5
Qwen/Qwen2-72B,a100,Sparse,8192,64,0.1,-1.62,-1.02,122.83,122.83,65.27,0.00,OK,4.7
Qwen/Qwen2-72B,a100,Dense,8192,4,1.0,-1.62,-1.02,191.15,214.90,37.27,0.00,OK,11.7
Qwen/Qwen2-72B,a100,NaiveSparse,8192,4,1.0,-1.62,-1.02,191.15,214.90,37.27,0.00,OK,11.7
Qwen/Qwen2-72B,a100,Dense,8192,8,1.0,-1.62,-1.02,122.83,122.83,65.27,0.00,OK,12.5
Qwen/Qwen2-72B,a100,NaiveSparse,8192,8,1.0,-1.62,-1.02,122.83,122.83,65.27,0.00,OK,12.5
Qwen/Qwen2-72B,a100,Sparse,8192,128,0.1,-1.62,-1.02,122.83,122.83,65.27,0.00,OK,4.7
Qwen/Qwen2-72B,a100,Dense,8192,16,1.0,-1.62,-1.02,122.83,122.83,65.27,0.00,OK,11.7
Qwen/Qwen2-72B,a100,NaiveSparse,8192,16,1.0,-1.62,-1.02,122.83,122.83,65.27,0.00,OK,11.7
Qwen/Qwen2-72B,a100,Dense,8192,32,1.0,-1.62,-1.02,122.83,122.83,65.27,0.00,OK,9.3
Qwen/Qwen2-72B,a100,NaiveSparse,8192,32,1.0,-1.62,-1.02,122.83,122.83,65.27,0.00,OK,9.3
Qwen/Qwen2-72B,a100,Dense,8192,64,1.0,-1.62,-1.02,122.83,122.83,65.27,0.00,OK,9.3
Qwen/Qwen2-72B,a100,NaiveSparse,8192,64,1.0,-1.62,-1.02,122.83,122.83,65.27,0.00,OK,9.3
Qwen/Qwen2-72B,a100,Dense,8192,128,1.0,-1.62,-1.02,122.83,122.83,65.27,0.00,OK,9.4
Qwen/Qwen2-72B,a100,NaiveSparse,8192,128,1.0,-1.62,-1.02,122.83,122.83,65.27,0.00,OK,9.4
Qwen/Qwen2-72B,a100,Sparse,16384,16,0.1,-1.62,-1.02,122.83,122.83,65.27,0.00,OK,9.4
Qwen/Qwen2-72B,a100,Sparse,16384,4,0.1,-1.62,-1.02,191.15,214.90,37.27,0.00,OK,15.3
Qwen/Qwen2-72B,a100,Sparse,16384,8,0.1,-1.62,-1.02,122.83,122.83,65.27,0.00,OK,15.1
Qwen/Qwen2-72B,a100,Sparse,16384,32,0.1,-1.62,-1.02,122.83,122.83,65.27,0.00,OK,10.4
Qwen/Qwen2-72B,a100,Sparse,16384,64,0.1,-1.62,-1.02,122.83,122.83,65.27,0.00,OK,5.2
Qwen/Qwen2-72B,a100,Dense,16384,4,1.0,-1.62,-1.02,191.15,214.90,37.27,0.00,OK,20.5
Qwen/Qwen2-72B,a100,NaiveSparse,16384,4,1.0,-1.62,-1.02,191.15,214.90,37.27,0.00,OK,20.5
Qwen/Qwen2-72B,a100,Dense,16384,8,1.0,-1.62,-1.02,122.83,122.83,65.27,0.00,OK,21.1
Qwen/Qwen2-72B,a100,NaiveSparse,16384,8,1.0,-1.62,-1.02,122.83,122.83,65.27,0.00,OK,21.1
Qwen/Qwen2-72B,a100,Dense,16384,16,1.0,-1.62,-1.02,122.83,122.83,65.27,0.00,OK,21.0
Qwen/Qwen2-72B,a100,NaiveSparse,16384,16,1.0,-1.62,-1.02,122.83,122.83,65.27,0.00,OK,21.0
Qwen/Qwen2-72B,a100,Dense,16384,32,1.0,-1.62,-1.02,122.83,122.83,65.27,0.00,OK,19.1
Qwen/Qwen2-72B,a100,NaiveSparse,16384,32,1.0,-1.62,-1.02,122.83,122.83,65.27,0.00,OK,19.1
Qwen/Qwen2-72B,a100,Dense,16384,64,1.0,-1.62,-1.02,122.83,122.83,65.27,0.00,OK,14.5
Qwen/Qwen2-72B,a100,NaiveSparse,16384,64,1.0,-1.62,-1.02,122.83,122.83,65.27,0.00,OK,14.5
Qwen/Qwen2-72B,a100,Sparse,32768,4,0.1,-1.62,-1.02,191.15,214.90,37.27,0.00,OK,18.1
Qwen/Qwen2-72B,a100,Sparse,32768,16,0.1,-1.62,-1.02,122.83,122.83,65.27,0.00,OK,15.5
Qwen/Qwen2-72B,a100,Sparse,32768,32,0.1,-1.62,-1.02,122.83,122.83,65.27,0.00,OK,14.1
Qwen/Qwen2-72B,a100,Sparse,32768,8,0.1,-1.62,-1.02,122.83,122.83,65.27,0.00,OK,25.6
Qwen/Qwen2-72B,a100,Dense,32768,4,1.0,-1.62,-1.02,191.15,214.90,37.27,0.00,OK,36.0
Qwen/Qwen2-72B,a100,NaiveSparse,32768,4,1.0,-1.62,-1.02,191.15,214.90,37.27,0.00,OK,36.0
Qwen/Qwen2-72B,a100,Dense,32768,8,1.0,-1.62,-1.02,132.20,132.20,60.63,37.50,OK,37.3
Qwen/Qwen2-72B,a100,NaiveSparse,32768,8,1.0,-1.62,-1.02,132.20,132.20,60.63,37.50,OK,37.3
Qwen/Qwen2-72B,a100,Sparse,65536,8,0.1,-1.62,-1.02,122.83,122.83,65.27,0.00,OK,18.7
Qwen/Qwen2-72B,a100,Dense,32768,32,1.0,-1.62,-1.02,132.20,132.20,60.63,37.50,OK,32.4
Qwen/Qwen2-72B,a100,NaiveSparse,32768,32,1.0,-1.62,-1.02,132.20,132.20,60.63,37.50,OK,32.4
Qwen/Qwen2-72B,a100,Dense,32768,16,1.0,-1.62,-1.02,132.20,132.20,60.63,37.50,OK,38.8
Qwen/Qwen2-72B,a100,NaiveSparse,32768,16,1.0,-1.62,-1.02,132.20,132.20,60.63,37.50,OK,38.8
Qwen/Qwen2-72B,a100,Sparse,65536,4,0.1,-1.62,-1.02,191.15,214.90,37.27,0.00,OK,29.9
Qwen/Qwen2-72B,a100,Sparse,65536,16,0.1,-1.62,-1.02,122.83,122.83,65.27,0.00,OK,13.0
Qwen/Qwen2-72B,a100,Dense,65536,4,1.0,-1.62,-1.02,219.16,242.91,32.97,112.07,OK,55.0
Qwen/Qwen2-72B,a100,NaiveSparse,65536,4,1.0,-1.62,-1.02,219.16,242.91,32.97,112.07,OK,55.0
Qwen/Qwen2-72B,a100,Sparse,131072,8,0.1,-1.62,-1.02,122.83,122.83,65.27,0.00,OK,33.7
Qwen/Qwen2-72B,a100,Dense,65536,8,1.0,-1.62,-1.02,240.12,240.12,33.35,469.19,OK,56.6
Qwen/Qwen2-72B,a100,NaiveSparse,65536,8,1.0,-1.62,-1.02,240.12,240.12,33.35,469.19,OK,56.6
Qwen/Qwen2-72B,a100,Sparse,131072,4,0.1,-1.62,-1.02,191.15,214.90,37.27,0.00,OK,41.4
Qwen/Qwen2-72B,a100,Dense,65536,16,1.0,-1.62,-1.02,240.12,240.12,33.35,469.19,OK,51.9
Qwen/Qwen2-72B,a100,NaiveSparse,65536,16,1.0,-1.62,-1.02,240.12,240.12,33.35,469.19,OK,51.9
Qwen/Qwen2-72B,a100,Sparse,262144,4,0.1,-1.62,-1.02,191.15,214.90,37.27,0.00,OK,163.3
Qwen/Qwen2-72B,a100,Dense,131072,4,1.0,-1.62,-1.02,414.88,456.83,17.52,967.73,OK,475.1
Qwen/Qwen2-72B,a100,NaiveSparse,131072,4,1.0,-1.62,-1.02,414.88,456.83,17.52,967.73,OK,475.1
Qwen/Qwen2-72B,a100,Dense,131072,8,1.0,-1.62,-1.02,456.81,456.81,17.52,1335.93,OK,481.6
Qwen/Qwen2-72B,a100,NaiveSparse,131072,8,1.0,-1.62,-1.02,456.81,456.81,17.52,1335.93,OK,481.6
Qwen/Qwen2-72B,a40,Dense,4096,8,1.0,-1.62,-1.02,337.46,337.46,23.72,0.00,OK,443.1
Qwen/Qwen2-72B,a40,NaiveSparse,4096,8,1.0,-1.62,-1.02,337.46,337.46,23.72,0.00,OK,443.1
Qwen/Qwen2-72B,a40,Sparse,4096,32,0.1,-1.62,-1.02,336.77,336.77,23.77,0.00,OK,10.1
Qwen/Qwen2-72B,a40,Sparse,4096,4,0.1,-1.62,-1.02,525.53,590.69,13.55,0.00,OK,460.5
Qwen/Qwen2-72B,a40,Sparse,4096,16,0.1,-1.62,-1.02,336.77,336.77,23.77,0.00,OK,328.3
Qwen/Qwen2-72B,a40,Dense,4096,4,1.0,-1.62,-1.02,525.65,590.84,13.55,0.00,OK,462.0
Qwen/Qwen2-72B,a40,NaiveSparse,4096,4,1.0,-1.62,-1.02,525.65,590.84,13.55,0.00,OK,462.0
Qwen/Qwen2-72B,a40,Sparse,4096,8,0.1,-1.62,-1.02,336.63,336.63,23.78,0.00,OK,462.6
Qwen/Qwen2-72B,a40,Sparse,4096,64,0.1,-1.62,-1.02,336.77,336.77,23.77,0.00,OK,9.0
Qwen/Qwen2-72B,a40,Sparse,4096,128,0.1,-1.62,-1.02,336.77,336.77,23.77,0.00,OK,9.3
Qwen/Qwen2-72B,a40,Dense,4096,32,1.0,-1.62,-1.02,336.77,336.77,23.77,0.00,OK,17.5
