model,device,batch,context_length,baseline,tp,footprint_gb,sparsity_fraction,tpot_p50_ms,tpot_p99_ms,status,wall_s
meta-llama/Meta-Llama-3-8B,blackwell,4,131072,Dense,1,84.8,1.0,16.49932876222281,16.49932876222281,OK,14.7
meta-llama/Meta-Llama-3-8B,blackwell,4,131072,Dense,4,84.8,1.0,13.838031306420229,13.838031306420229,OK,14.8
meta-llama/Meta-Llama-3-8B,blackwell,4,131072,Dense,2,84.8,1.0,14.572364248518888,14.572364248518888,OK,14.9
meta-llama/Meta-Llama-3-8B,blackwell,4,131072,Dense,8,84.8,1.0,12.977864493372604,12.977864493372604,OK,14.5
meta-llama/Meta-Llama-3-8B,blackwell,4,196608,Dense,2,119.1,1.0,16.719847896518885,16.719847896518885,OK,15.1
meta-llama/Meta-Llama-3-8B,blackwell,4,196608,Dense,1,119.1,1.0,20.794296058222812,20.794296058222812,OK,15.4
meta-llama/Meta-Llama-3-8B,blackwell,4,196608,Dense,4,119.1,1.0,14.911773130420231,14.911773130420231,OK,14.9
meta-llama/Meta-Llama-3-8B,blackwell,4,196608,Dense,8,119.1,1.0,13.514735405372605,13.514735405372605,OK,14.9
meta-llama/Meta-Llama-3-8B,blackwell,4,262144,Dense,1,153.5,1.0,25.08926335422281,25.08926335422281,OK,15.7
meta-llama/Meta-Llama-3-8B,blackwell,4,262144,Dense,2,153.5,1.0,18.867331544518887,18.867331544518887,OK,15.8
meta-llama/Meta-Llama-3-8B,blackwell,4,262144,Dense,4,153.5,1.0,15.98551495442023,15.98551495442023,OK,16.3
meta-llama/Meta-Llama-3-8B,blackwell,4,262144,Dense,8,153.5,1.0,14.051606317372604,14.051606317372604,OK,15.5
meta-llama/Meta-Llama-3-8B,blackwell,4,393216,Dense,1,222.2,1.0,33.6791979462228,33.6791979462228,OK,16.8
meta-llama/Meta-Llama-3-8B,blackwell,4,393216,Dense,2,222.2,1.0,23.162298840518886,23.162298840518886,OK,18.2
meta-llama/Meta-Llama-3-8B,blackwell,4,393216,Dense,4,222.2,1.0,18.13299860242023,18.13299860242023,OK,17.4
meta-llama/Meta-Llama-3-8B,blackwell,4,393216,Dense,8,222.2,1.0,15.125348141372605,15.125348141372605,OK,17.0
meta-llama/Meta-Llama-3-8B,blackwell,4,524288,Dense,1,290.9,1.0,42.269132538222806,42.269132538222806,OK,17.8
meta-llama/Meta-Llama-3-8B,blackwell,4,524288,Dense,2,290.9,1.0,27.45726613651889,27.45726613651889,OK,18.0
meta-llama/Meta-Llama-3-8B,blackwell,4,524288,Dense,4,290.9,1.0,20.280482250420228,20.280482250420228,OK,17.8
meta-llama/Meta-Llama-3-8B,blackwell,4,524288,Dense,8,290.9,1.0,16.199089965372604,16.199089965372604,OK,18.3
meta-llama/Meta-Llama-3-8B,blackwell,4,786432,Dense,1,428.4,1.0,59.44900172222281,59.44900172222281,OK,19.6
meta-llama/Meta-Llama-3-8B,blackwell,4,786432,Dense,4,428.4,1.0,24.575449546420227,24.575449546420227,OK,20.3
meta-llama/Meta-Llama-3-8B,blackwell,4,786432,Dense,2,428.4,1.0,36.04720072851889,36.04720072851889,OK,21.8
meta-llama/Meta-Llama-3-8B,blackwell,4,786432,Dense,8,428.4,1.0,18.346573613372605,18.346573613372605,OK,20.6
meta-llama/Meta-Llama-3-8B,blackwell,4,1048576,Dense,1,565.8,1.0,76.62887090622282,76.62887090622282,OK,22.0
meta-llama/Meta-Llama-3-8B,blackwell,4,1048576,Dense,2,565.8,1.0,44.63713532051889,44.63713532051889,OK,22.1
meta-llama/Meta-Llama-3-8B,blackwell,4,1048576,Dense,8,565.8,1.0,20.494057261372603,20.494057261372603,OK,22.6
meta-llama/Meta-Llama-3-8B,blackwell,4,1048576,Dense,4,565.8,1.0,28.870416842420227,28.870416842420227,OK,23.0
meta-llama/Meta-Llama-3-8B,blackwell,4,2097152,Dense,1,1115.6,1.0,145.34834764222282,145.34834764222282,OK,29.7
meta-llama/Meta-Llama-3-8B,blackwell,4,2097152,Dense,2,1115.6,1.0,78.99687368851889,78.99687368851889,OK,31.3
meta-llama/Meta-Llama-3-8B,blackwell,8,131072,Dense,1,153.5,1.0,25.092737786222806,25.092737786222806,OK,14.3
meta-llama/Meta-Llama-3-8B,blackwell,4,2097152,Dense,4,1115.6,1.0,46.05028602642023,46.05028602642023,OK,32.1
meta-llama/Meta-Llama-3-8B,blackwell,8,131072,Dense,4,153.5,1.0,15.988399562420229,15.988399562420229,OK,14.6
meta-llama/Meta-Llama-3-8B,blackwell,8,131072,Dense,2,153.5,1.0,18.87041276051889,18.87041276051889,OK,14.7
meta-llama/Meta-Llama-3-8B,blackwell,8,131072,Dense,8,153.5,1.0,14.054392621372603,14.054392621372603,OK,14.7
meta-llama/Meta-Llama-3-8B,blackwell,8,196608,Dense,1,222.2,1.0,33.68267237822281,33.68267237822281,OK,15.0
meta-llama/Meta-Llama-3-8B,blackwell,8,196608,Dense,2,222.2,1.0,23.16538005651888,23.16538005651888,OK,15.1
meta-llama/Meta-Llama-3-8B,blackwell,8,196608,Dense,4,222.2,1.0,18.13588321042023,18.13588321042023,OK,15.2
meta-llama/Meta-Llama-3-8B,blackwell,8,196608,Dense,8,222.2,1.0,15.128134445372606,15.128134445372606,OK,15.3
meta-llama/Meta-Llama-3-8B,blackwell,8,262144,Dense,1,290.9,1.0,42.27260697022281,42.27260697022281,OK,15.3
meta-llama/Meta-Llama-3-8B,blackwell,8,262144,Dense,2,290.9,1.0,27.460347352518884,27.460347352518884,OK,15.5
meta-llama/Meta-Llama-3-8B,blackwell,8,262144,Dense,4,290.9,1.0,20.283366858420226,20.283366858420226,OK,15.8
meta-llama/Meta-Llama-3-8B,blackwell,8,262144,Dense,8,290.9,1.0,16.201876269372605,16.201876269372605,OK,16.0
meta-llama/Meta-Llama-3-8B,blackwell,8,393216,Dense,1,428.4,1.0,59.4524761542228,59.4524761542228,OK,16.6
meta-llama/Meta-Llama-3-8B,blackwell,8,393216,Dense,2,428.4,1.0,36.050281944518886,36.050281944518886,OK,16.7
meta-llama/Meta-Llama-3-8B,blackwell,8,393216,Dense,4,428.4,1.0,24.578334154420226,24.578334154420226,OK,16.9
meta-llama/Meta-Llama-3-8B,blackwell,8,393216,Dense,8,428.4,1.0,18.349359917372603,18.349359917372603,OK,17.0
meta-llama/Meta-Llama-3-8B,blackwell,8,524288,Dense,1,565.8,1.0,76.63234533822282,76.63234533822282,OK,17.5
meta-llama/Meta-Llama-3-8B,blackwell,8,524288,Dense,2,565.8,1.0,44.640216536518885,44.640216536518885,OK,18.0
meta-llama/Meta-Llama-3-8B,blackwell,8,524288,Dense,4,565.8,1.0,28.873301450420225,28.873301450420225,OK,17.8
meta-llama/Meta-Llama-3-8B,blackwell,8,524288,Dense,8,565.8,1.0,20.496843565372604,20.496843565372604,OK,18.0
