model,device,ctx_K,batch,dense_tpot_p50_ms,dense_tpot_p99_ms,sparse_tpot_p50_ms,sparse_tpot_p99_ms,speedup_dense_over_sparse,dense_hbf_stall_ms,sparse_hbf_stall_ms,dense_throughput_tok_s,sparse_throughput_tok_s,source
CodeLlama-34b-Instruct-hf,a40,16,16,166.69,166.69,166.69,166.69,1.0,0.0,0.0,48.07,48.07,simulated
CodeLlama-34b-Instruct-hf,a40,16,32,166.69,166.69,166.69,166.69,1.0,0.0,0.0,48.07,48.07,simulated
CodeLlama-34b-Instruct-hf,a40,16,64,166.69,166.69,166.69,166.69,1.0,0.0,0.0,48.07,48.07,simulated
CodeLlama-34b-Instruct-hf,a40,16,128,166.69,166.69,166.69,166.69,1.0,0.0,0.0,48.07,48.07,simulated
CodeLlama-34b-Instruct-hf,a40,32,4,258.16,290.12,258.16,290.12,1.0,0.0,0.0,27.6,27.6,simulated
CodeLlama-34b-Instruct-hf,a40,32,8,166.69,166.69,166.69,166.69,1.0,0.0,0.0,48.07,48.07,simulated
CodeLlama-34b-Instruct-hf,a40,32,16,166.69,166.69,166.69,166.69,1.0,0.0,0.0,48.07,48.07,simulated
CodeLlama-34b-Instruct-hf,a40,32,32,166.69,166.69,166.69,166.69,1.0,0.0,0.0,48.07,48.07,simulated
CodeLlama-34b-Instruct-hf,a40,32,64,166.69,166.69,166.69,166.69,1.0,0.0,0.0,48.07,48.07,simulated
CodeLlama-34b-Instruct-hf,a40,32,128,166.7157,166.7157,166.6900,166.6900,1.0002,0.0257,0.0000,767.77,767.89,analytical
CodeLlama-34b-Instruct-hf,a40,64,4,258.16,290.12,258.16,290.12,1.0,0.0,0.0,27.6,27.6,simulated
CodeLlama-34b-Instruct-hf,a40,64,8,166.69,166.69,166.69,166.69,1.0,0.0,0.0,48.07,48.07,simulated
CodeLlama-34b-Instruct-hf,a40,64,16,166.69,166.69,166.69,166.69,1.0,0.0,0.0,48.07,48.07,simulated
CodeLlama-34b-Instruct-hf,a40,64,32,166.69,166.69,166.69,166.69,1.0,0.0,0.0,48.07,48.07,simulated
CodeLlama-34b-Instruct-hf,a40,64,64,166.7084,166.7084,166.6900,166.6900,1.0001,0.0184,0.0000,383.90,383.95,analytical
CodeLlama-34b-Instruct-hf,a40,64,128,166.7614,166.7614,166.6900,166.6900,1.0004,0.0714,0.0000,767.56,767.89,analytical
CodeLlama-34b-Instruct-hf,a40,128,4,266.41,298.37,258.16,290.12,1.032,33.02,0.0,26.84,27.6,simulated
CodeLlama-34b-Instruct-hf,a40,128,8,291.57,291.57,166.69,166.69,1.749,499.55,0.0,27.46,48.07,simulated
CodeLlama-34b-Instruct-hf,a40,128,16,291.57,291.57,166.69,166.69,1.749,499.55,0.0,27.46,48.07,simulated
CodeLlama-34b-Instruct-hf,a40,128,32,166.7040,166.7040,166.6900,166.6900,1.0001,0.0140,0.0000,191.96,191.97,analytical
CodeLlama-34b-Instruct-hf,a40,128,64,166.7390,166.7390,166.6900,166.6900,1.0003,0.0490,0.0000,383.83,383.95,analytical
CodeLlama-34b-Instruct-hf,a40,128,128,166.8529,166.8529,166.6900,166.6900,1.0010,0.1629,0.0000,767.14,767.89,analytical
CodeLlama-34b-Instruct-hf,a40,256,4,501.29,551.63,258.16,290.12,1.942,1046.05,0.0,14.51,27.6,simulated
CodeLlama-34b-Instruct-hf,a40,256,8,551.62,551.62,166.69,166.69,3.309,1539.74,0.0,14.51,48.07,simulated
CodeLlama-34b-Instruct-hf,a40,256,16,391.6926,391.6926,166.6900,166.6900,2.3498,225.0026,0.0000,40.85,95.99,analytical
CodeLlama-34b-Instruct-hf,a40,256,32,166.7264,166.7264,166.6900,166.6900,1.0002,0.0364,0.0000,191.93,191.97,analytical
