time_stats.emb.min,time_stats.emb.max,time_stats.emb.mean,time_stats.emb.median,time_stats.emb.std,time_stats.input_layernorm.min,time_stats.input_layernorm.max,time_stats.input_layernorm.mean,time_stats.input_layernorm.median,time_stats.input_layernorm.std,time_stats.attn_pre_proj.min,time_stats.attn_pre_proj.max,time_stats.attn_pre_proj.mean,time_stats.attn_pre_proj.median,time_stats.attn_pre_proj.std,time_stats.attn_rope.min,time_stats.attn_rope.max,time_stats.attn_rope.mean,time_stats.attn_rope.median,time_stats.attn_rope.std,time_stats.attn_post_proj.min,time_stats.attn_post_proj.max,time_stats.attn_post_proj.mean,time_stats.attn_post_proj.median,time_stats.attn_post_proj.std,time_stats.mlp_up_proj.min,time_stats.mlp_up_proj.max,time_stats.mlp_up_proj.mean,time_stats.mlp_up_proj.median,time_stats.mlp_up_proj.std,time_stats.mlp_act.min,time_stats.mlp_act.max,time_stats.mlp_act.mean,time_stats.mlp_act.median,time_stats.mlp_act.std,time_stats.mlp_down_proj.min,time_stats.mlp_down_proj.max,time_stats.mlp_down_proj.mean,time_stats.mlp_down_proj.median,time_stats.mlp_down_proj.std,time_stats.add.min,time_stats.add.max,time_stats.add.mean,time_stats.add.median,time_stats.add.std,n_head,n_kv_head,n_embd,n_expanded_embd,vocab_size,use_gated_mlp,num_tokens,num_tensor_parallel_workers
0.031,0.033,0.032809523809523816,0.033,0.0004994327848429298,0.016,0.017,0.016800000000000002,0.017,0.0004000000000000004,0.341,0.34600000000000003,0.34354999999999997,0.3435,0.0013219304066402295,0.044,0.046,0.04485000000000001,0.045,0.0004769696007084733,0.139,0.14200000000000002,0.1405,0.14,0.000741619848709567,0.425,0.431,0.4282,0.428,0.0018330302779823375,0.068,0.07,0.06920000000000001,0.069,0.0005099019513592789,0.47500000000000003,0.482,0.47870000000000007,0.47800000000000004,0.0018466185312619179,0.05,0.052000000000000005,0.05075,0.051000000000000004,0.0006224949798994372,32,32,2560,10240,51200,False,960,1
0.03,0.033,0.0320952380952381,0.032,0.0009209085526577968,0.015,0.017,0.016200000000000003,0.016,0.000509901951359279,0.324,0.35000000000000003,0.3408999999999999,0.341,0.007783957862167555,0.044,0.046,0.04465000000000001,0.045,0.0005722761571129803,0.126,0.14300000000000002,0.13814999999999994,0.139,0.005284647575761325,0.40700000000000003,0.437,0.42699999999999994,0.426,0.008360621986431388,0.068,0.069,0.0683,0.068,0.0004582575694955844,0.456,0.488,0.47645,0.47500000000000003,0.008610894262502576,0.049,0.051000000000000004,0.05000000000000001,0.05,0.0005477225575051667,32,32,2560,10240,51200,False,952,1
0.031,0.033,0.03252380952380953,0.033,0.0005870870479018079,0.016,0.017,0.016350000000000003,0.016,0.00047696960070847325,0.343,0.35000000000000003,0.34564999999999996,0.343,0.0031666228067138047,0.044,0.045,0.044250000000000005,0.044,0.0004330127018922198,0.14,0.14400000000000002,0.14129999999999998,0.1405,0.001452583904633396,0.428,0.437,0.43170000000000003,0.428,0.004100000000000004,0.068,0.069,0.06805000000000001,0.068,0.00021794494717703385,0.481,0.492,0.48605,0.483,0.004421255477802661,0.048,0.05,0.04945000000000001,0.05,0.0006689544080129831,32,32,2560,10240,51200,False,944,1
0.029,0.032,0.03128571428571429,0.031,0.0006998542122237653,0.015,0.016,0.015550000000000003,0.016,0.0004974937185533105,0.332,0.341,0.33595,0.338,0.0029912372022292072,0.043000000000000003,0.044,0.0432,0.043000000000000003,0.0003999999999999976,0.13,0.14100000000000001,0.13340000000000002,0.134,0.002782085548648714,0.41500000000000004,0.433,0.42024999999999996,0.422,0.00428806483159943,0.067,0.068,0.06715,0.067,0.0003570714214271428,0.462,0.482,0.4688,0.47000000000000003,0.004456455991031434,0.048,0.05,0.04880000000000001,0.049,0.000509901951359279,32,32,2560,10240,51200,False,936,1
0.03,0.032,0.030809523809523814,0.031,0.0006632565846278158,0.015,0.016,0.015700000000000002,0.016,0.0004582575694955845,0.321,0.335,0.32994999999999997,0.334,0.00549977272257682,0.042,0.044,0.04315000000000001,0.043000000000000003,0.00047696960070847075,0.129,0.139,0.13330000000000003,0.135,0.0028827070610799176,0.405,0.436,0.41395,0.417,0.007466424847274615,0.066,0.067,0.0665,0.0665,0.0005000000000000004,0.453,0.487,0.46235,0.465,0.007531766061157235,0.048,0.05,0.04815000000000001,0.048,0.00047696960070847325,32,32,2560,10240,51200,False,928,1
0.028,0.032,0.03090476190476191,0.031,0.0010190921218587,0.015,0.016,0.015300000000000003,0.015,0.0004582575694955844,0.321,0.354,0.34070000000000006,0.342,0.009392017887546844,0.042,0.043000000000000003,0.04275000000000001,0.043000000000000003,0.0004330127018922197,0.126,0.14400000000000002,0.13725000000000004,0.138,0.005028667815634678,0.403,0.44,0.42545,0.426,0.010452152888280952,0.065,0.067,0.06615000000000001,0.066,0.0004769696007084733,0.454,0.493,0.4778500000000001,0.47750000000000004,0.01160721758217704,0.046,0.05,0.04765000000000001,0.048,0.0007921489758877437,32,32,2560,10240,51200,False,920,1
0.03,0.032,0.031095238095238103,0.031,0.0008109231602822102,0.015,0.016,0.015500000000000003,0.0155,0.0005000000000000004,0.329,0.34400000000000003,0.33815,0.3415,0.005359804100897722,0.042,0.043000000000000003,0.04225000000000001,0.042,0.0004330127018922198,0.131,0.14,0.13660000000000003,0.138,0.003246536616149588,0.41400000000000003,0.433,0.4225,0.425,0.005286775955154506,0.065,0.066,0.06545000000000001,0.065,0.0004974937185533104,0.467,0.489,0.4753,0.47700000000000004,0.0052735187493740815,0.046,0.048,0.04705000000000001,0.047,0.0005894913061275804,32,32,2560,10240,51200,False,912,1
0.028,0.032,0.030666666666666672,0.031,0.0009428090415820634,0.014,0.015,0.014950000000000001,0.015,0.00021794494717703347,0.321,0.34600000000000003,0.3396,0.34,0.0065299310869258095,0.041,0.043000000000000003,0.04210000000000001,0.042,0.00043588989435406776,0.125,0.14100000000000001,0.13785000000000003,0.139,0.004362052269287936,0.402,0.431,0.4232499999999999,0.423,0.007725768570181212,0.064,0.065,0.0648,0.065,0.0004000000000000003,0.454,0.484,0.4759000000000001,0.47550000000000003,0.007320519107276468,0.046,0.047,0.04640000000000001,0.046,0.0004898979485566361,32,32,2560,10240,51200,False,904,1
0.028,0.031,0.030095238095238102,0.03,0.0008676603408708853,0.014,0.016,0.014900000000000002,0.015,0.0004358898943540672,0.334,0.361,0.3489,0.35050000000000003,0.007911384202527388,0.039,0.041,0.039900000000000005,0.04,0.0004358898943540677,0.127,0.14300000000000002,0.1363,0.137,0.005040833264451429,0.404,0.431,0.418,0.418,0.008160882305241257,0.064,0.065,0.0643,0.064,0.00045825756949558437,0.391,0.41300000000000003,0.4023,0.402,0.00649692234831232,0.045,0.046,0.04585000000000001,0.046,0.00035707142142714284,32,32,2560,10240,51200,False,896,1
0.028,0.03,0.02952380952380953,0.03,0.0006632565846278143,0.014,0.015,0.014600000000000002,0.015,0.0004898979485566354,0.331,0.35000000000000003,0.34340000000000004,0.34900000000000003,0.007876547467006095,0.039,0.04,0.039400000000000004,0.039,0.000489897948556636,0.127,0.138,0.13369999999999999,0.1365,0.004313930922024602,0.402,0.432,0.41364999999999996,0.418,0.00819313737221583,0.063,0.064,0.06385,0.064,0.00035707142142714284,0.389,0.417,0.39885000000000004,0.4005,0.006799080820228567,0.044,0.046,0.04485000000000001,0.045,0.0006538348415311016,32,32,2560,10240,51200,False,888,1
